epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean,filter_rgb_enabled,filter_rgb_keep_ratio,filter_rgb_original_pairs,filter_rgb_kept_pairs,filter_ir_enabled,filter_ir_keep_ratio,filter_ir_original_pairs,filter_ir_kept_pairs,soft_enabled,soft_topk,soft_temperature,soft_start_epoch,soft_r2i_rows,soft_r2i_top1_acc,soft_r2i_topk_acc,soft_r2i_correct_mass_mean,soft_r2i_entropy_mean,soft_i2r_rows,soft_i2r_top1_acc,soft_i2r_topk_acc,soft_i2r_correct_mass_mean,soft_i2r_entropy_mean
0,142,124,47,32,99,0.33098591549295775,0.3732394366197183,0.3467741935483871,0.5957446808510638,0.17003308491088964,0.18085551654863424,0.5666432981771526,0.5349934934331859,0.4523059738443253,0.2990252198651433,0.3325949123110434,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,151,132,59,32,95,0.39072847682119205,0.46357615894039733,0.4090909090909091,0.6610169491525424,0.1467521671800891,0.16222749668469363,0.6138254547992886,0.5886054623583754,0.5431020906416036,0.3838102538138628,0.3640299270027562,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,153,163,113,5,61,0.738562091503268,0.5359477124183006,0.4662576687116564,0.5929203539823009,0.28820175114043556,0.12895111089487513,0.5716587944493626,0.6870773438121255,0.7007602458506559,0.4083764851093292,0.30726035403423624,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,156,173,130,5,53,0.8333333333333334,0.5576923076923077,0.5317919075144508,0.6153846153846154,0.2205631278688189,0.10999016234821853,0.6653571801399163,0.7586785499291104,0.729811185827622,0.2745023548603058,0.3301501378135861,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,164,177,143,5,37,0.8719512195121951,0.5914634146341463,0.536723163841808,0.6153846153846154,0.13883895725329268,0.09789748211129853,0.7689576150740327,0.7929718186399138,0.7121844752268358,0.31845801770687104,0.3239851110690349,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,162,174,153,5,21,0.9444444444444444,0.5987654320987654,0.5919540229885057,0.6339869281045751,0.09742388325131575,0.08471547271929522,0.8355414584229169,0.8198221024536487,0.6791578959795385,0.3510627685114741,0.2880525645312099,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,169,171,155,8,17,0.9171597633136095,0.591715976331361,0.6257309941520468,0.6387096774193548,0.07532104556701057,0.09013466470122466,0.8561347939796417,0.7939350362190608,0.602240054838119,0.34856459870934486,0.3108874143046491,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
7,174,182,162,4,21,0.9310344827586207,0.5977011494252874,0.6043956043956044,0.6296296296296297,0.0722641346592419,0.08573998845170233,0.8651631296328125,0.8202643038120162,0.614365013845173,0.28729297965765,0.30230474809095975,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
8,177,173,155,10,23,0.8757062146892656,0.6101694915254238,0.6358381502890174,0.6645161290322581,0.07313280226581449,0.09690143251312197,0.8545994626200412,0.7853018225417009,0.5249554995567568,0.3458111800253391,0.35403389046373573,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
9,178,181,165,5,19,0.9269662921348315,0.6348314606741573,0.6187845303867403,0.6484848484848484,0.06230874140374,0.08211392939866458,0.88878704314796,0.8510488281544498,0.541478404673663,0.31717500686645506,0.3198218790716247,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
