epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean
0,142,124,47,32,99,0.33098591549295775,0.3732394366197183,0.3467741935483871,0.5957446808510638,0.17003308491088964,0.18085551654863424,0.5666432981771526,0.5349934934331859,0.4523059738443253,0.2990252198651433,0.3325949123110434
1,151,132,59,32,95,0.39072847682119205,0.46357615894039733,0.4090909090909091,0.6610169491525424,0.1467521671800891,0.16222749668469363,0.6138254547992886,0.5886054623583754,0.5431020906416036,0.3838102538138628,0.3640299270027562
2,153,163,113,5,61,0.738562091503268,0.5359477124183006,0.4662576687116564,0.5929203539823009,0.9771414552702214,0.9720991631147008,0.046563441352117034,0.05559790392349707,0.7007602458506559,0.4083764851093292,0.30726035403423624
3,156,173,131,5,52,0.8397435897435898,0.5576923076923077,0.5433526011560693,0.6183206106870229,0.9747997283250817,0.9712938192773211,0.05397765964931524,0.06126939565966634,0.7263821081350778,0.2745023548603058,0.33326621926747835
4,165,177,150,2,32,0.9090909090909091,0.6,0.559322033898305,0.6133333333333333,0.9718026909664291,0.9707884195877791,0.06279239336395007,0.06411470773653451,0.7033828483025233,0.23852333426475525,0.30618032184429467
5,166,171,155,5,19,0.9337349397590361,0.6144578313253012,0.6023391812865497,0.632258064516129,0.9702861435206743,0.970705432344297,0.06689236578560051,0.06453643921726751,0.6827309131622314,0.17461866438388823,0.34109213556114
6,171,179,161,0,21,0.9415204678362573,0.6198830409356725,0.6089385474860335,0.6459627329192547,0.96984185835973,0.9699272023113401,0.06934940037607627,0.067304357562873,0.6248904294478967,0.0,0.312515764718964
7,174,179,162,2,21,0.9310344827586207,0.6206896551724138,0.6256983240223464,0.654320987654321,0.9695305136458318,0.9700396374082951,0.0704153446508093,0.06753599448668705,0.6289806641914226,0.33513177931308746,0.3518544570321128
8,178,173,158,8,22,0.8876404494382022,0.6404494382022472,0.6763005780346821,0.6962025316455697,0.9697680971843456,0.9700700584885311,0.0688564441086193,0.06562310644324731,0.532115186599991,0.36695216968655586,0.41217055781321094
9,179,185,170,3,16,0.9497206703910615,0.659217877094972,0.6486486486486487,0.6764705882352942,0.969178268074919,0.9698854288165552,0.07129324315874534,0.0683577696057901,0.5684397297746995,0.34209413329760235,0.3178651984781027
10,179,183,174,2,11,0.9720670391061452,0.659217877094972,0.6612021857923497,0.6724137931034483,0.9683685816145547,0.9692757423172645,0.0740954826329043,0.07054174043852143,0.5726213943341683,0.38376282155513763,0.29258072579448874
11,180,184,175,1,12,0.9722222222222222,0.6666666666666666,0.6467391304347826,0.6685714285714286,0.9681058708335079,0.968800251874031,0.07472957815797951,0.07199732596574628,0.5740973711013794,0.3928065299987793,0.2820215964068969
12,179,183,176,2,8,0.9832402234636871,0.659217877094972,0.6502732240437158,0.6647727272727273,0.9683038180529142,0.9689073118693642,0.07484617414372083,0.07207369434325545,0.5741451921110804,0.341120108962059,0.2212314559146762
13,179,182,176,2,7,0.9832402234636871,0.659217877094972,0.6538461538461539,0.6647727272727273,0.9680552980501034,0.9686860955372875,0.07530412352852445,0.0725578459458968,0.5731622644446113,0.34115713834762573,0.21814016784940446
14,179,183,176,2,8,0.9832402234636871,0.659217877094972,0.6502732240437158,0.6647727272727273,0.9681029879506321,0.9687026923881893,0.07530521966359138,0.07273063933796942,0.5753685967488722,0.3568664491176605,0.22419733554124832
